OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY,T & 10
SALISBURYY,D,91,2,6,R,1,10,47,5,MIDFIELD,,21,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,L,,STICK,,Complete,,J,4,4,,CAT,,,,,6LG,119,,,,,
SALISBURYY,D,92,2,6,L,2,5,42,0,MIDFIELD,,21,,DBLS,RT,,STRONG,22,Pass,,5 STEP,,L,,SAIL,,Complete,,X,1,4,,CAT,,,,,,,,,,,
SALISBURYY,D,93,2,6,L,3,5,42,1,MIDFIELD,,21,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,R,,VERT,CORNER POST,Sack,,Q,,2,,CAT,,,,,,,,,,,
SALISBURYY,D,94,2,6,M,4,4,41,0,MIDFIELD,,21,,TRIPS BUNCH WIDE,RT,,STRONG,41,Pass,,5 STEP,,R,,VERT,,Incomplete,,,9,4,,DOG,,,,INT,2LT,363,,,,,
SALISBURYY,D,111,3,7,R,0,10,-11,7,UPFIELD,,21,,WOLF OFF,RT,,WEAK,22,Pass,,5 STEP,,L,,POST,SIT,Complete,,J,1,4,,DOG,,,,,6LG,135,,,,,
SALISBURYY,D,112,3,7,L,2,3,-18,0,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Pass,,SOP,,R,,OUTSIDE FLOOD,,Incomplete,,J,3,4,,CAT,,,,,7RT,150,,,,,
SALISBURYY,D,113,3,7,L,3,3,-18,61,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Run,,TOSS,,R,,,,Rush,E-Alley,T,,3 CLOUD,,CAT,,,,,,,,,,,
SALISBURYY,D,114,3,7,L,1,10,21,13,RED ZONE,,12,H ACROSS,TEX OFF,LT,,WEAK,41,Run,TRICK,TOSS PASS,,R,,,,Rush,E-Alley,T,,4,,CAT,,,,,,,,,,,
SALISBURYY,D,115,3,7,L,1,8,8,0,RED ZONE,,12,H ACROSS,TEX OFF STACK,LT,,STRONG,41,Pass,,SOP,,R,,OUTSIDE FLOOD,,Incomplete,,Z,9,MAN,,CAT,,,,,8RT,244,,,,,
SALISBURYY,D,116,3,7,L,2,8,8,0,RED ZONE,,11,,FOX,RT,,SPLIT WAGON,21,Run,RPO,IZ,,R,,,,Rush,,T,,MAN,,CAT,,,,,,,,,,,
SALISBURYY,D,117,3,7,M,3,7,8,8,RED ZONE,,11,,WOLF OFF,LT,,WEAK,22,Pass,,5 STEP,,R,,VERT,HITCH,Complete,,Z,6,TORRO,,CAT,,,,TD,3RT,5,,,,,
SALISBURYY,D,132,3,8,L,0,10,-18,0,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Pass,,5 STEP,,R,,COMEBACK,POST,Incomplete,,Z,9,4,,CAT,,,,,8RG,203,,,,,
SALISBURYY,D,133,3,8,L,2,10,-18,10,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Run,,TOSS,,R,,,,Rush,E-Alley,T,,4,,CAT,,,,,,,,I,,,
SALISBURYY,D,134,3,8,L,3,1,-28,-11,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Pass,,WAGGLE,,R,,COMEBACK,WHIP,Complete,,Z,9,4,,CAT,,,,,10RT,344,,,,,
SALISBURYY,D,135,3,8,L,3,11,-17,2,UPFIELD,,21,,TOM OFF,RT,,STRONG,41,Run,,TOSS,,R,,,,Rush,E-Alley,T,,4,,DOG,,,,PUNT,,,,,,,
SALISBURYY,D,149,4,9,M,0,10,-25,3,UPFIELD,,21,,FOX,LT,,TRUCK,21,Run,RPO,POWER,,L,,,,Rush,A,T,,4,,CAT,,,,,,,,,,,
SALISBURYY,D,150,4,9,M,2,6,-28,-5,UPFIELD,,21,YOYO,TOM OFF,LT,,STRONG,41,Pass,,PAP,TOSS,L,,VERT,SIT,Sack,,Q,,4,,CAT,,,,,,,,,,,
SALISBURYY,D,151,4,9,M,3,12,-23,15,UPFIELD,,20,,DBLS,RT,,WEAK,22,Pass,,5 STEP,,R,,VERT,DRAG,Complete,,J,6,4,,CAT,,,S,PUNT,8OC,216,,,,,
