OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
Albright College,D,62,2,5,R,2,10,-42,UPFIELD,,20,J OUT,TRIPS,L,,WEAK,32,Run,,Q DRAW,,R,BUB,,,,B,Q,,HEAT,,OVER,,SHELL,1,,
Albright College,D,63,2,5,R,3,9,-43,UPFIELD,,20,,TRIPS,L,,WEAK,32,Pass,,5 STEP,,,,VERTS J OUT,,Incomplete,,J,4,,6A2F,WOLF,,BURRITO,0,PUNT,
Albright College,D,87,3,6,R,0,10,-35,UPFIELD,,21,B MESH,SLOT,R,,SPLIT,21,Run,,SPEED LEAD,,R,BUB,,,,C,B,,7,,OVER,DRIVE,,3,,
Albright College,D,88,3,6,R,2,7,-38,UPFIELD,,21,B MESH,SLOT,L,,STRONG,,Run,,IZ,,L,ALT,,,,D,T,,7,,OVER,DRIVE,,3,,
Albright College,D,89,3,6,R,3,4,-41,UPFIELD,,21,,DOUBLES CUT,L,,WEAK,23,Run,RPO,IZ,LOCK,L,,SLIDE,,,B,T,,SOLO,,OVER,,CHOICE,1,PUNT,
Albright College,D,97,3,7,R,0,10,18,RED ZONE,,21,,TOM OFF,L,,STRONG,41,Pass,,5 STEP,,,,HITCHES,GO,Complete,,X,9,HEAT,7A2BS,OVER,,SHELL,18,TD,
Albright College,D,98,3,7,M,0,3,3,RED ZONE,,21,,TOM OFF,L,,WEAK,32,Pass,TRICK,PHILLY SPECIAL,,,,,,Complete,,Q,3,HEAT,,OVER,,BLAST,3,,
Albright College,D,108,3,8,L,0,10,-43,UPFIELD,,12,HOP,SLOT TY,L,,WEAK,22,Run,,STRETCH,,L,BUB,,,,D,T,,,,OVER,,,0,,
Albright College,D,109,3,8,L,2,10,-43,UPFIELD,,12,HOP,SLOT TY,L,,WEAK,22,Pass,,PAP,,L,,SNAKE,VERTS,Scramble,,Q,,HEAT,,OVER,,BLAST,5,,
Albright College,D,110,3,8,L,3,5,-48,UPFIELD,,12,,SLOT TY,L,,WEAK,22,Pass,,5 STEP,,,,ALERT AND GO,VERTS,Incomplete,,Z,7,7,6A3B,OVER,,,0,PUNT,
Albright College,D,124,4,9,L,0,10,-16,BACKED UP,,21,YOYIN,FOX,R,,KING,21,Run,,IZ,BASE,R,ALT,,,,B,T,,7,,OVER,,,4,,
Albright College,D,125,4,9,L,2,6,-20,UPFIELD,,21,YOP,WOLF OFF CUT,L,,STRONG,23,Pass,,BOOT,,L,,WAGGLE,,Complete,,Z,6,HEAT,BOOT,OVER,,SHELL,16,,
Albright College,D,126,4,9,L,1,10,-36,UPFIELD,,21,,TREY,L,,WEAK,41,Run,SCR,IZ,LOCK,L,BUB,,,Complete,,B,,7,,OVER,,,5,,
