OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,POST SACK,SERIES END,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
King's College,D,47,2,8,R,,2,10,-20,UPFIELD,7,,,,12,,TEX,RT,,WK,31,Run,,Q DRAW,,L,,,,Rush,Q,C,,,,OVER,,,,,,,,
King's College,D,48,2,8,M,,3,3,-27,UPFIELD,0,,PUNT,,12,,TEX,RT,,WK,31,Run,,Q ISO,,L,,,,Rush,Q,B,,,,OVER,,,,,,,,
King's College,D,54,2,10,L,,0,10,-33,UPFIELD,18,,,,12,,TEX,LT,,WK,31,Pass,,SOP,,R,,FLOOD,,Complete,Y,,3,4,SPRINT,OVER,,,7ROOP,191,ROOP,,,
King's College,D,55,2,10,R,,1,10,49,MIDFIELD,10,,,,12,,TEX,RT,,WK,31,Pass,,NAKED PIN,,L,,WAGGLE,,Complete,J,,4,4,,OVER,,,9LOOP,422,LOOP,,,
King's College,D,56,2,10,L,,1,10,39,GREEN ZONE,-3,,,,12,J JET,SLOT TY,LT,,WK,22,Run,,Q OZ,,L,,,,Rush,Q,D,,,,OVER,,,,,,,,
King's College,D,57,2,10,L,,2,12,42,MIDFIELD,0,,,,12,,SLOT UND,LT,,I,21,Pass,,SOP,,R,,VERT SWITCH,,Incomplete,,,8,4,NAKED COUNTER TREY,OVER,,,9RT,356,,,,
King's College,D,59,2,10,R,,3,23,-46,MIDFIELD,21,,,,12,,SLOT UND,RT,,I,21,Run,,ISO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,60,2,10,L,,4,4,33,GREEN ZONE,24,,,,12,,UNB TOM UND,RT,,I,30,Pass,,SOP,,R,,RUB OUT,,Complete,J,,3,0,73ABS,OVER,,,8RG,184,,,,
King's College,D,61,2,10,R,,1,9,9,RED ZONE,1,,,,12,,ACE,LT,,DOT,22,Run,,IZ,,L,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,62,2,10,M,,2,8,8,RED ZONE,8,,TD,,12,,ACE,LT,,WK,22,Pass,,3 STEP,,L,,VERTS,,Complete,Z,,7,2,70 MAN,OVER,,,5OC,166,,,,
King's College,D,78,2,12,M,,0,10,-28,UPFIELD,3,,,,12,,PRO,RT,,I,21,Run,,ISO,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,79,2,12,R,,2,7,-31,UPFIELD,36,,,,11,,TOM,LT,,STRONG,31,Pass,,5 STEP,,R,,COMEBACK VERTS,,Complete,X,,9,2,62AB,OVER,,,7OC,234,,,,
King's College,D,80,2,12,R,,1,10,33,GREEN ZONE,-3,,,,11,,TOM,LT,,STRONG,31,Pass,,5 STEP,,L,,COMEBACK VERTS,,Sack,,,,1,62AB,OVER,,,,,,,,
King's College,D,81,2,12,R,,2,12,36,GREEN ZONE,-6,,,,12,,SLOT UND,RT,,I,21,Run,,SPRINT DRAW,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,82,2,12,M,,3,16,41,MIDFIELD,9,,,,12,,TEX,RT,,WK,31,Run,,Q DRAW,,L,,,,Rush,Q,A,,,,OVER,,,,,,,,
King's College,D,83,2,12,R,,4,9,32,GREEN ZONE,0,,TOD,,11,,WOLF SIB,LT,,STRONG,22,Pass,,5 STEP,,L,,VERT SWITCH,,Incomplete,,,7,1,62AB,OVER,,,7OC,184,,,,
King's College,D,89,2,14,L,T,0,10,-44,MIDFIELD,0,,,,12,,SLOT UND,LT,,I,21,Pass,,PAP,OZ,R,,CROSS,,Incomplete,,,7,3,82F,OVER,,,9OC,378,,,,
King's College,D,90,2,14,L,,2,10,-44,MIDFIELD,9,,,,12,,SLOT UND,LT,,I,21,Run,,ISO,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,91,2,14,R,,3,1,47,MIDFIELD,1,,,,12,,SLOT UND,RT,,I,21,Run,,ISO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,98,3,15,L,,0,10,47,MIDFIELD,0,,,,20,,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,COMEBACKS,,Incomplete,,,6,3,SPRINT,OVER,,,5ROOP,321,ROOP,,,
King's College,D,99,3,15,L,,2,10,47,MIDFIELD,-2,,,,20,,TOM OFF,RT,,STRONG,31,Pass,TRICK,SHOVEL,,L,,COMEBACKS,,Complete,Y,,2,1,,OVER,,,6RG,97,,,,
King's College,D,100,3,15,L,,3,12,49,MIDFIELD,0,,PUNT,,11,,TREY,LT,,WK,31,Pass,,5 STEP,,R,,BUBBLE SLANTS,,Incomplete,,,5,3,62TF,OVER,,,5OC,206,,,,
King's College,D,109,3,15,M,,1,10,-24,UPFIELD,3,,,,12,,SLOT UND,LT,,I,21,Run,,ISO,,R,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,110,3,15,M,,2,8,-27,UPFIELD,1,,,,12,,SLOT UND,LT,,I,21,Run,,ISO,,L,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,111,3,15,L,,3,6,-28,UPFIELD,0,,INT,,12,,TEX,LT,,WK,21,Pass,,NAKED,,R,,WAGGLE,,Interception,,,6,4,NAKED,OVER,,,7ROOP,334,ROOP,,,
King's College,D,116,3,16,R,,0,10,-27,UPFIELD,4,,,,12,,SLOT UND,RT,,I,21,Pass,,NAKED,,R,,VERT COMEBACK,,Scramble,,,,1,NAKED COUNTER TREY,OVER,,,,,LOOP,,,
King's College,D,117,3,16,L,,2,6,-31,UPFIELD,9,,,,12,X JET,ACE,RT,,STRONG,22,Run,,POWER RD,,R,,,,Rush,Q,C,,,,OVER,,,,,,,,
King's College,D,118,3,16,M,,1,10,-40,MIDFIELD,0,,,,12,,SLOT UND,RT,,I,21,Pass,,SOP,,R,,COMEBACKS,,Incomplete,,,1,4,SPRINT,OVER,,,10LOOP,394,LOOP,,,
King's College,D,119,3,16,M,,2,10,-40,MIDFIELD,5,,,,12,,SLOT UND,RT,,I,21,Run,,ISO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,120,3,16,L,,3,6,-45,MIDFIELD,0,,PUNT,,10,,WIDE BUNCH,RT,,STRONG,31,Pass,RPO,PAP,IZ,R,,BUBBLE,,Incomplete,,,3,2,,OVER,,,5OC,137,,,,
King's College,D,126,3,17,R,,0,10,41,MIDFIELD,24,,,,11,,TREY,RT,,WK,31,Run,,PUNCH,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,127,3,17,R,,1,10,17,RED ZONE,8,,,,11,,TREY,RT,,WK,31,Pass,,5 STEP,,L,,CHAIR,,Complete,S,,4,3,63AB,OVER,,,5OC,240,,,,
King's College,D,128,3,17,L,,2,2,9,RED ZONE,8,,,,20,,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,SWITCH CORNER CMB,,Complete,J,,6,3,SPRINT,OVER,,,5ROOP,268,ROOP,,,
King's College,D,129,3,17,R,,1,1,1,GOALLINE,0,,,,22,TY TRADE,UNB BOX TY UND,LT,,I,30,Run,,DUO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,130,3,17,M,,2,1,1,GOALLINE,0,,,,22,,UNB BOX TY UND,LT,,I,30,Pass,,NAKED,,R,,CROSS,,Incomplete,,,9,0,NAKED,OVER,,,7ROOP,597,ROOP,,,
King's College,D,131,3,17,M,,3,1,1,GOALLINE,0,,FIELD GOAL,,12,,SLOT UND,LT,,I,21,Run,,POWER,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,139,3,18,M,,0,10,-12,UPFIELD,0,,,,11,,TOM,RT,,WK,31,Pass,,,,,,COMEBACK OUT,,Scramble,,,,3,62AF,OVER,,,,,,,,
King's College,D,140,3,18,M,,2,10,-12,UPFIELD,4,,,,11,,TREY,LT,,WK,31,Run,,PUNCH,,,,,,Rush,Q,B,,,,OVER,,,,,,,,
King's College,D,141,3,18,M,,3,6,-16,UPFIELD,6,,,,11,,TOM,LT,,STRONG,31,Run,,Q BOSS,,,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,142,3,18,L,,1,10,-22,UPFIELD,0,,,,12,,UNB TOM UND,RT,,I,30,Run,,ISO,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,143,3,18,L,,2,10,-22,UPFIELD,0,,,,12,,TEX,LT,,WK,31,Pass,,SOP,,R,,FLOOD,,Incomplete,,,3,1,SPRINT,OVER,,,7ROOP,250,ROOP,,,
King's College,D,144,3,18,L,,3,10,-22,UPFIELD,0,,PUNT,,20,,TOM OFF,RT,,STRONG,31,Run,TRICK,SHOVEL,,L,,,,Complete,Y,,2,4,,OVER,,,,,,,,
King's College,D,149,4,18,R,,0,10,-37,UPFIELD,18,,,,11,,TREY,RT,,I,31,Pass,,NAKED,,R,,OVER,,Complete,Y,,3,1,NAKED,OVER,,,9RT,338,,,,
King's College,D,150,4,18,R,,2,3,-45,MIDFIELD,7,,,,12,,ACE UND,LT,,DOT,22,Run,,Q SNEAK,,R,,,,Rush,Q,A,,,,OVER,,,,,,,,
King's College,D,151,4,18,R,,1,10,48,MIDFIELD,1,,,,12,,TEX,RT,,WK,31,Run,,PUNCH,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,152,4,18,R,,2,9,47,MIDFIELD,0,,,,12,,SLOT UND,RT,,I,21,Pass,,NAKED,,R,,CROSS,,Scramble,,,,3,NAKED,OVER,,,,ROOP,,,,
King's College,D,153,4,18,R,,3,9,47,MIDFIELD,18,,,,11,,TREY,RT,,WK,31,Run,,POWER RD,,R,,,,Rush,T,D,,,,OVER,,,,,,,,
King's College,D,154,4,18,R,,1,10,29,GREEN ZONE,1,,,,12,,UNB TOM UND,LT,,I,30,Run,,BOSS,,L,,,,Rush,T,D,,,,OVER,,,,,,,,
King's College,D,155,4,18,L,,2,8,28,GREEN ZONE,1,,,,12,,SLOT UND,LT,,I,21,Run,,POWER,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,156,4,18,M,,3,7,27,GREEN ZONE,6,,,,11,,TOM,LT,,STRONG,31,Run,,Q DRAW,,L,,,,Rush,Q,B,,,,OVER,,,,,,,,
King's College,D,157,4,18,R,,4,2,21,RED ZONE,2,,TD,,22,,BOX OFF UND,RT,,I,21,Pass,,PAP,ISO,R,,OVER VERT,,Complete,Y,,9,0,73F,OVER,,,10RT,282,,,,
King's College,D,167,4,19,R,,0,10,45,MIDFIELD,7,,,,22,,BOX UND,RT,,QUEEN,21,Run,,ISO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
