OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,RESULT,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
Widener University,O,30,1,4,L,,2,10,-25,UPFIELD,3,Rush,,11,,TREY,LT,,WK,,Run,RPO,IZ,,R,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,31,1,4,L,,3,7,-28,UPFIELD,18,Complete,,11,,TOM,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS,,J,,8,2,53TF,OVER,,,,,7OC,256,,,,
Widener University,O,32,1,4,L,,1,10,-46,MIDFIELD,0,Rush,,11,S HIP,ACE OFF,LT,,STRONG,,Run,,COUNTER,,L,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,33,1,4,L,,2,10,-46,MIDFIELD,0,Incomplete,,11,S HIP,ACE OFF,LT,,STRONG,,Pass,,NAKED,,L,,CROSS,,,,4,4,NAKED,OVER,,,,,6LOOP,328,LOOP,,,
Widener University,O,34,1,4,L,,3,10,-46,MIDFIELD,-4,Sack,,10,S ACROSS,TRIPS,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS,COMEBACK,Q,,,4,50 MAN,UNDER,,,,PUNT,,,,,,
Widener University,O,44,1,6,R,,0,10,-21,UPFIELD,0,Rush,,10,,TRIPS,LT,,STRONG,,Run,RPO,IZ,,R,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,45,1,6,R,,2,9,-21,UPFIELD,5,Complete,,10,,TRIPS,LT,,WK,,Pass,,5 STEP,,L,,VERTS,OUT,S,,4,3,50 MAN,OVER,,,,,8OC,232,,,,
Widener University,O,46,1,6,L,,3,6,-26,UPFIELD,-13,Complete,,10,,TRIPS,RT,,STRONG,,Pass,RPO,IZ,,R,,RUB OUT,,S,,3,1,64AF,OVER,,,,,5OC,154,,,,
Widener University,O,47,2,6,L,,3,18,-13,UPFIELD,8,Complete,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,L,,VERTS,DIG OUT,J,,5,2,63AB,OVER,,,,PUNT,5OC,291,,,,
Widener University,O,53,2,8,M,,0,10,-5,BACKED UP,-1,Rush,,11,X HIP,WOLF TY,RT,,STRONG,,Run,,POWER,,R,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,54,2,8,R,,2,11,-4,BACKED UP,51,Complete,,11,J ORBIT,WOLF,RT,,STRONG,,Pass,RPO,IZ,,R,,SWING SLANT,STALK GO,Y,,6,4,,OVER,,,,,5OC,200,,,,
Widener University,O,55,2,8,L,,1,10,45,MIDFIELD,3,Rush,,11,,WOLF,RT,,WK,,Run,,PUNCH,,L,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,56,2,8,L,,2,7,42,MIDFIELD,-4,Rush,,10,,TRIPS,RT,,STRONG,,Run,,IZ,,L,,,,Q,C,,,,OVER,,,,,,,,,,
Widener University,O,57,2,8,L,,3,11,46,MIDFIELD,0,Incomplete,,10,S ACROSS,WIDE BUNCH,RT,,STRONG,,Pass,,5 STEP,,L,,VERTS,,,,7,2,60AB,UNDER,,,,PUNT,7OC,319,,,,
Widener University,O,67,2,10,L,,0,10,-5,BACKED UP,2,Rush,,11,,FOX,RT,,TRUCK,,Run,RPO,IZ,,L,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,68,2,10,L,,2,8,-7,BACKED UP,2,Rush,,11,,TREY,LT,,WK,,Run,,IZ,,L,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,69,2,10,L,,3,6,-9,BACKED UP,7,Complete,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS COMEBACKS,,J,,6,4,63AB,OVER,,,,,8RG,231,,,,
Widener University,O,70,2,10,R,,1,10,-16,UPFIELD,9,Complete,,10,S IN,WOLF OFF,RT,,WK,,Pass,,NAKED,,L,,FLOOD,,S,,4,4,NAKED,OVER,,,,,8LT,303,,,,
Widener University,O,71,2,10,L,,2,1,-25,UPFIELD,13,Complete,,10,T OUT,TRIPS,RT,,WK,,Pass,,T SWING,,R,SWG,SWING,,T,,3,3,50 MAN,OVER,,,,,6OC,128,,,,
Widener University,O,72,2,10,R,,1,10,-38,UPFIELD,4,Rush,,10,T OUT,TRIPS,LT,,WK,,Run,,DRAW,,L,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,73,2,10,M,,2,6,-42,MIDFIELD,3,Rush,,11,,TREY CON,LT,,WK,,Run,RPO,IZ,,L,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,74,2,10,R,,3,3,-45,MIDFIELD,0,Incomplete,,11,J JET,WOLF,LT,,STRONG,,Pass,,NAKED,,R,,CROSS,,,,6,4,NAKED,OVER,,,,PUNT,9ROOP,297,ROOP,,,
Widener University,O,80,2,12,R,,0,10,46,MIDFIELD,0,Complete,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,R,,VERTS,DIG OUT,J,,6,4,63TF,OVER,,,,,5RG,375,,,,
Widener University,O,81,2,12,R,,1,10,33,GREEN ZONE,13,Incomplete,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,R,,SMASH,DIG OUT,,,9,4,63AB,OVER,,,,,3LG,375,,,,
Widener University,O,82,2,12,R,,1,10,17,RED ZONE,17,TD,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,R,,VERT SWITCH,DIG OUT,X,,8,4,61AB,OVER,,,,TD,7OC,300,,,,
Widener University,O,88,3,14,R,,0,10,-35,UPFIELD,5,Rush,,10,,DBLS,LT,,STRONG,,Run,RPO,IZ,READ,R,,,,T,A,,,,OVER,,,,,,,,,,
Widener University,O,89,3,14,R,,2,5,-40,UPFIELD,14,Complete,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,L,,FLOOD,WHEEL,Z,,4,4,53TF,OVER,,,,,8LG,281,,,,
Widener University,O,90,3,14,L,,1,10,46,MIDFIELD,2,Rush,,10,,DBLS,RT,,STRONG,,Run,RPO,IZ,READ,L,,,,T,A,,,,OVER,,,,,,,,,,
Widener University,O,91,3,14,L,,2,8,44,MIDFIELD,0,Incomplete,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,L,,DIG OUT,DRAG,,,4,4,61AB,OVER,,,,,7OC,240,,,,
Widener University,O,92,3,14,L,,3,8,44,MIDFIELD,9,Scramble,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,L,,VERTS,DIG OUT,Q,,,3,63TF,OVER,,,,,,,LB,,,
Widener University,O,93,3,14,L,,1,10,35,GREEN ZONE,1,Scramble,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS COMEBACKS,,Q,,,4,61AB,OVER,,,,,,,RA,,,
