OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
Lebanon Valley College,D,115,3,10,R,2,12,-41,UPFIELD,,22,,BOX UND,RT,,I,21,Pass,SCR,X BUBBLE,,L,,,,,Complete,X,,MATCH,POSSE,,2,,
Lebanon Valley College,D,116,3,10,L,3,9,-43,UPFIELD,,11,,TOM,RT,,STRONG,41,Pass,,SOP,,R,,,STIX UP,,Incomplete,Z,7,SOLO,OVER,SPRINT,0,PUNT,
Lebanon Valley College,D,124,3,11,R,0,10,-41,UPFIELD,,21,,SLOT UND,RT,,QUEEN,31,Run,,SPRINT DRAW,,L,,B,,,Rush,R,,4,FIELD,,2,,
Lebanon Valley College,D,125,3,11,M,2,8,-43,UPFIELD,,20,,FOX,RT,,QUEEN,22,Run,,Q COUNTER,,R,,B,,,Rush,Q,,4,OVER,,0,,
Lebanon Valley College,D,126,3,11,R,3,8,-43,UPFIELD,,20,FLOP,FOX UND,RT,,QUEEN,22,Pass,,SOP,,R,,,STIX,,Complete,X,6,HEAT,OVER,SPRINT,8,,
Lebanon Valley College,D,127,3,11,R,1,10,49,UPFIELD,,21,,PRO UND,RT,YES,KING,13,Run,,DOWN,,R,,D,,,Rush,R,,MATCH,POSSE,,-5,,
Lebanon Valley College,D,128,3,11,R,2,15,-46,UPFIELD,,11,,TOM,LT,,STRONG,41,Run,,COUNTER TREY,,R,,A,,,Rush,R,,HEAT,OVER,,-1,,
Lebanon Valley College,D,129,3,11,R,3,16,-45,UPFIELD,,11,,WOLF SIB,LT,,STRONG,22,Pass,,5 STEP,,,,,VERTS,,Incomplete,X,9,8,DOG,60 MAN,0,PUNT,
Lebanon Valley College,D,137,4,12,L,0,10,-46,UPFIELD,,31,,BOX TO UND,LT,,I,21,Run,,COUNTER DOWN,,L,,B,,,Rush,R,,6,PONY,,33,,
Lebanon Valley College,D,138,4,12,R,1,10,21,GREEN ZONE,,31,,BOX TO CUT UND,RT,,I,21,Pass,,PAP,,R,,,POWER PASS,,Complete,Y,9,MATCH,POSSE,POWER PASS,21,TD,
Lebanon Valley College,D,147,4,13,L,0,10,17,RED ZONE,,21,,SLOT TIGHT,LT,,QUEEN,31,Run,,POWER SHOVEL,,R,,B,,,Complete,R,,HOT,FIELD,,8,,
Lebanon Valley College,D,148,4,13,R,2,2,9,RED ZONE,,21,,SLOT UND,RT,,QUEEN,31,Pass,,BOOT,,L,,,SWITCH WHEEL,,Incomplete,R,,MATCH,PONY,NAKED COUNTER TREY,0,,
Lebanon Valley College,D,149,4,13,R,3,2,9,RED ZONE,,21,,UNB SLOT UND,LT,,KING,3,Run,,ISO,,L,,A,,,Rush,R,,MATCH,PONY,,1,,
Lebanon Valley College,D,150,4,13,R,4,1,8,RED ZONE,,22,,BOX UND,RT,,I,21,Run,,ISO,,L,,B,,,Rush,R,,MATCH,POSSE,,8,TD,
Lebanon Valley College,D,151,4,13,R,1,3,3,GOALLINE,,21,,SLOT,RT,,QUEEN,31,2 Pt.,,Q SPRINT DRAW,,L,,B,,,Rush,Q,,4,FIELD,,-75,,
Lycoming,D,1,1,1,R,0,10,-21,UPFIELD,,21,FLOP,SLOT UND,R,,KING,22,Pass,SCR,Z BUBBLE,,L,,,,,Complete,Z,,4,FLIP,,13,,
Lycoming,D,2,1,1,L,1,10,-34,UPFIELD,,21,FLOP,PRO UND,R,,QUEEN,22,Run,,F TRAP,,R,,A,,,,Q,,4,OVER,,3,,
Lycoming,D,3,1,1,L,2,7,-37,UPFIELD,,21,,SLOT UND,L,,QUEEN,31,Run,,SPRINT DRAW,,R,,B,,,,R,,4,OVER,,22,,
Lycoming,D,4,1,1,R,1,10,41,UPFIELD,,21,,SLOT UND,R,,QUEEN,31,Pass,,SOP,,L,,,CURL,,Incomplete,X,,4,FLIP,,0,,
Lycoming,D,5,1,1,R,2,10,41,UPFIELD,,21,FLOP,SLOT UND,R,,QUEEN,31,Run,,OZ,,L,,D,,,,R,,4,OVER,,-3,,
