OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,RESULT,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
HSC,D,68,2,10,M,,1,10,36,Complete,18,GREEN ZONE,,11,,WOLF OFF,RT,,STRONG,22,Pass,RPO,POWER,,R,,BUBBLE/SLANT,SKINNY POST,X,,6,0,,UNDER,,,,,5OC,168,,,,
HSC,D,69,2,10,R,,1,10,18,Incomplete,0,RED ZONE,,11,J ORBIT,SLOT,RT,YES,GUN SPLIT,21,Pass,,PAP,ISO,L,,BUBBLE/ SLANT GO,,,,7,0,70AF,UNDER,,,,,6OC,197,,,,
HSC,D,70,2,10,R,,2,10,18,Rush,0,RED ZONE,,11,,FOX,LT,,WAGON,21,Run,,POWER,,R,,,,T,B,,,,,,,,,,,,,,
HSC,D,71,2,10,R,,3,10,18,Complete,14,RED ZONE,,10,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,R,,MESH,COMEBACK,X,,6,3,50FBS,UNDER,,,,TD,7OC,185,,,,
HSC,D,84,2,12,R,,1,3,3,Rush,0,GOALLINE,,11,,TOM OFF,LT,,STRONG,31,Run,,Q ISO,,L,,,,Q,C,,,,,,,,,,,,,,
HSC,D,85,2,12,R,,2,3,3,TD,3,GOALLINE,,11,,TOM OFF,RT,YES,STRONG,31,Pass,,3 STEP,,L,,BUBBLE/SLANT,VERT,Z,,4,3,70AFS,UNDER,,,,TD,5OC,128,,,,
HSC,D,97,2,14,L,,1,10,-30,Incomplete,0,UPFIELD,,11,,TREY,LT,,WK,31,Pass,,5 STEP,,R,,VERTS,,,,,3,60AB,UNDER,,,,,5ROOP,387,RB,,,
HSC,D,98,2,14,L,,2,10,-30,,0,UPFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSC,D,100,3,15,M,,1,10,-15,Rush,-1,UPFIELD,,,,TIGHT,,,,,Run,,IZ,BASE,R,,,,T,B,,,,,,,,,,,,,,
HSC,D,101,3,15,R,,2,11,-14,Rush,-1,UPFIELD,,11,,TOM OFF,RT,YES,WK,31,Run,,OZ,,R,,,,T,E-Alley,,,,,,,,,,,,,,
HSC,D,102,3,15,R,,3,12,-13,,40,UPFIELD,,10,,TRIPS,LT,,WK,31,Pass,,5 STEP,,R,,VERTS,,,,9,3,60TB,UNDER,,,,,7OC,253,,,,
HSC,D,103,3,15,R,,1,10,47,Rush,5,MIDFIELD,,10,,TRIPS,LT,,STRONG,31,Run,,POWER,,R,,,,T,B,,,,,,,,,,,,,,
HSC,D,104,3,15,R,,2,5,42,Rush,1,MIDFIELD,,12,,TEX OFF,RT,,PISTOL,31,Run,,OZ,,L,,,,T,B,,,,,,,,,,,,,,
HSC,D,105,3,15,L,,3,4,41,Scramble,3,MIDFIELD,,10,,DBLS,RT,,STRONG,22,Pass,,5 STEP,,L,,MESH,COMEBACK,,,,2,50 TF,UNDER,,,,PUNT,,,LB,,,
