OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
King's College,D,116,3,10,L,1,10,-44,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Run,,OZ,,,BUB,D,,,,T,,7,,WIDE,TRES,,0,,
King's College,D,117,3,10,L,2,10,-44,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Run,RPO,IZ,BASE,L,,C,CLEAR,GLANCE,,T,,5,,FAR,,BLAST,19,,
King's College,D,118,3,10,L,1,10,37,GREEN ZONE,,11,,WOLF OFF,LT,,WEAK,22,Pass,,PAP,IZ,L,,,CROSS,COMEBACK,Incomplete,Z,6,7,7T2FS,FAR,TRES,,0,,
King's College,D,119,3,10,L,2,10,37,GREEN ZONE,,11,,FOX,RT,,QUEEN,21,Run,RPO,IZ,LOCK,L,,D,SMASH FADE,GO,,T,,7,,WIDE,CUATRO,,3,,
King's College,D,120,3,10,L,3,7,34,GREEN ZONE,,11,,WOLF OFF CUT,LT,,WEAK,22,Pass,,5 STEP,,,,,SLIDE,SWITCH,Complete,X,7,7,,WIDE,CUATRO,,29,,
King's College,D,121,3,10,R,1,5,5,GOALLINE,,12,HOHO,SLOT TY,RT,,STRONG,23,Pass,,WAGGLE,,R,,,OVER,INV SMASH,Incomplete,Y,9,TORO,,SKID,PINCH,,0,,
King's College,D,122,3,10,R,2,5,5,GOALLINE,,12,FLOP,SLOT CUT,RT,,WAGON,21,Run,RPO,POWER,,L,,,LION,,Incomplete,X,4,TORO,,SKID,PINCH,,0,,
King's College,D,123,3,10,R,3,5,5,GOALLINE,,12,FLOP,SLOT CUT,RT,,QUEEN,21,Run,,POWER,,L,,B,,,,T,,TORO,,SKID,PINCH,,1,,
King's College,D,124,3,10,M,4,4,4,GOALLINE,,10,,GARBAGE,LT,,STRONG,22,Pass,,OZ,,R,ALT,,,,Complete,J,,,,,,,-1,DOWNS,
King's College,D,130,3,11,M,0,10,-39,UPFIELD,,11,,FOX,LT,,WAGON,21,Run,,IZ,LOAD,L,,B,,,,T,,7,,OVER,UNO,,19,,
King's College,D,131,3,11,L,1,10,42,UPFIELD,,11,,FOX,RT,,WAGON,21,Pass,RPO,IZ,LOAD,R,,,HAMMER,BACKSHOULDER,Incomplete,Z,5,SOLO,,OVER,,SHELL,0,,
King's College,D,133,3,11,L,2,15,47,UPFIELD,,11,,WOLF OFF,LT,,WEAK,22,Pass,RPO,IZ,LOCK,L,,,SMASH FADE,GO,Complete,Z,9,5,,FAR,CUATRO,,28,,
King's College,D,134,3,11,L,1,10,19,RED ZONE,,11,,FOX CUT,RT,,WAGON,21,Run,RPO,IZ,LOAD,R,,A,SLIDE,GO,,T,,7,,OVER,UNO,,8,,
King's College,D,135,3,11,L,2,2,11,RED ZONE,,11,,FOX CUT,RT,,QUEEN,21,Pass,RPO,IZ,LOAD,R,,,SLIDE,FADE,Penalty,Z,7,MATCH,,FAR,,SMOKE,-15,,
King's College,D,136,3,11,L,2,17,26,RED ZONE,,11,,WOLF OFF,LT,,WEAK,22,Pass,SCR,PUNCH,,L,J FLAT,,,,Incomplete,J,,SOLO,,FAR,,SHELL,0,,
King's College,D,137,3,11,L,3,17,26,RED ZONE,,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,,,,POST WHIP,GO,Complete,Y,1,5,6A3B,FAR,,BLAST,4,,
King's College,D,138,4,11,R,4,13,22,RED ZONE,,20,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,VERTS,COMEBACK,Complete,X,6,SOLO,6A2F,OVER,,,13,,
King's College,D,139,4,11,R,1,9,9,RED ZONE,,11,,WOLF OFF CUT,RT,,WEAK,22,Pass,,PAP,IZ,R,,,SMASH,GLANCE,Complete,X,2,TORO,7T2FS,FAR,,,7,,
King's College,D,140,4,11,L,2,2,2,GOALLINE,,11,YOYO,WOLF OFF SIB,RT,,WEAK,23,Run,RPO,PUNCH,,R,,D,GLANCE,CLEAR,,T,,0,,SKID,PINCH,,1,,
King's College,D,141,4,11,R,3,1,1,GOALLINE,,11,YOP,TOM OFF,LT,,STRONG,41,Run,RPO,PUNCH,,L,,,SEAM,,,,,0,,SKID,PINCH,,0,,
King's College,D,142,4,11,M,4,1,1,GOALLINE,,21,YOP,PRO OFF CUT,LT,,QUEEN,21,Run,,POWER,,R,,B,,,,T,,0,,SKID,PINCH,,1,TD,
King's College,D,143,4,11,M,0,3,3,,,11,,TREY,LT,,WEAK,41,2 Pt.,,5 STEP,,,,,LAYERS,,Complete,X,5,TORO,,SKID,PINCH,,3,,
King's College,D,150,4,12,R,0,10,-32,UPFIELD,,20,,DOUBLES CUT,LT,,WEAK,23,Pass,,5 STEP,,,,,SWITCH SHILO,,Incomplete,T,3,7,5A2F,OVER,OCHO,,0,,
King's College,D,151,4,12,R,2,10,-32,UPFIELD,,20,,DOUBLES CUT,LT,,WEAK,23,Pass,,5 STEP,,,,,SMASH,INV SMASH,Complete,Z,1,7,6A3F,FAR,OCHO,,3,,
King's College,D,152,4,12,L,3,7,-35,UPFIELD,,20,,DOUBLES,RT,,STRONG,22,Pass,,3 STEP,,,,,SLIDE,UNDER,Incomplete,Y,1,SOLO,6A3B,FAR,,BLAST,0,,
King's College,D,153,4,12,L,4,7,-35,UPFIELD,,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,,,,STICKS,,Complete,Z,4,7,6A3B,WIDE,CUATRO,,15,,
